borough_y,sale_price,yearbuilt,lotarea,bldgarea,resarea,comarea,unitsres,unitstotal,numfloors,latitude,longitude,landuse,bldgclass,building_age
QN,1360000,1950.0,8000.0,2025.0,2025.0,0.0,1.0,1.0,1.0,40.7444834,-73.7627857,1.0,A2,75.0
QN,905000,1950.0,2642.0,1152.0,1152.0,0.0,1.0,1.0,2.0,40.7448112,-73.7594103,1.0,A5,75.0
QN,900000,1950.0,2600.0,1530.0,1530.0,0.0,1.0,1.0,2.0,40.7452626,-73.7600113,1.0,A5,75.0
QN,875000,1950.0,2658.0,1152.0,1152.0,0.0,1.0,1.0,2.0,40.7452276,-73.7590082,1.0,A5,75.0
BK,847000,1925.0,3750.0,4269.0,4269.0,0.0,2.0,2.0,2.5,40.6232946,-73.9523343,1.0,B2,100.0
QN,723000,1950.0,2500.0,896.0,896.0,0.0,1.0,1.0,2.0,40.7419736,-73.7635922,1.0,A5,75.0
QN,990000,1950.0,3000.0,1191.0,1191.0,0.0,1.0,1.0,2.0,40.742751,-73.762579,1.0,A5,75.0
QN,768300,1955.0,2500.0,1121.0,1121.0,0.0,1.0,1.0,2.0,40.7434475,-73.7609128,1.0,A5,70.0
QN,1200000,2007.0,2530.0,1564.0,1564.0,0.0,1.0,1.0,2.0,40.7420213,-73.7601312,1.0,A5,18.0
QN,855000,1950.0,2600.0,1116.0,1116.0,0.0,1.0,1.0,2.0,40.7435945,-73.7603674,1.0,A5,75.0
QN,1150000,1955.0,4000.0,1334.0,1334.0,0.0,1.0,1.0,1.0,40.7477891,-73.7503047,1.0,A2,70.0
QN,1200000,1945.0,5000.0,1080.0,1080.0,0.0,1.0,1.0,1.5,40.7478519,-73.746367,1.0,A0,80.0
QN,995000,1950.0,4000.0,1100.0,1100.0,0.0,1.0,1.0,1.0,40.7450159,-73.7473053,1.0,A2,75.0
QN,1188000,1950.0,4000.0,1286.0,1286.0,0.0,1.0,1.0,1.0,40.743672,-73.7452894,1.0,A2,75.0
BK,990000,1920.0,2000.0,1424.0,1424.0,0.0,1.0,1.0,2.5,40.6314405,-73.9343507,1.0,A9,105.0
BK,1400000,1920.0,2000.0,1424.0,1424.0,0.0,1.0,1.0,2.5,40.6312209,-73.9343293,1.0,A9,105.0
QN,1104500,1945.0,6000.0,1920.0,1920.0,0.0,1.0,1.0,1.5,40.7376504,-73.7517861,1.0,A2,80.0
QN,1125000,1945.0,9875.0,1733.0,1733.0,0.0,1.0,1.0,1.5,40.7381712,-73.7488937,1.0,A2,80.0
QN,1200000,1945.0,5916.0,1480.0,1480.0,0.0,1.0,1.0,1.5,40.7366618,-73.75411,1.0,A2,80.0
QN,1150000,1940.0,4085.0,1300.0,1300.0,0.0,1.0,1.0,2.0,40.7340477,-73.7640858,1.0,A1,85.0
QN,990000,1950.0,5100.0,2262.0,2262.0,0.0,1.0,1.0,2.0,40.7336638,-73.7602515,1.0,A3,75.0
BK,1520000,1925.0,2150.0,1455.0,1455.0,0.0,2.0,2.0,2.0,40.628234,-73.933374,1.0,B3,100.0
QN,1349000,1953.0,6684.0,2290.0,1545.0,745.0,1.0,2.0,1.0,40.7340704,-73.7578433,4.0,S1,72.0
QN,1185000,1955.0,5375.0,1528.0,1528.0,0.0,1.0,1.0,1.0,40.7353239,-73.7561284,1.0,A2,70.0
QN,1173000,1955.0,5800.0,1983.0,1983.0,0.0,1.0,1.0,1.67,40.735361,-73.7529168,1.0,A2,70.0
QN,1300000,1940.0,4695.0,1624.0,1624.0,0.0,1.0,1.0,2.0,40.7362219,-73.7524662,1.0,A1,85.0
